Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Flags,Image
1,1.639485,20.284403,1.639438,20.284400,545,240,545.410,240.027,1,+174426,1.0000,+521.239,adu,-13.1040,+0.0032,0,B,-2579.017212,-2584.629783,-2578.529458,-2558.367676,2578.706430,0.000000,30.248347,30.662568,5,5,5,0,10,15,79.04,0.00,402,5.21,0,/Users/alizamustafa/Downloads/new-image.fits
2,1.608487,20.278941,1.608445,20.278934,813,291,813.358,291.071,1,+228978,1.0000,+571.756,adu,-13.3995,+0.0027,0,B,-2471.517700,-2491.607507,-2470.213180,-2501.804199,2470.430719,0.000000,32.824766,30.766855,5,5,5,0,10,15,79.04,0.00,402,5.08,0,/Users/alizamustafa/Downloads/new-image.fits
3,1.683031,20.272372,1.683087,20.272329,168,350,167.513,350.400,1,+938779,1.0000,+1110.75,adu,-14.9314,+0.0013,0,B,-2517.739380,-2544.930890,-2514.613692,-2633.312256,2515.132389,0.000000,51.141491,53.368530,5,5,5,0,10,15,79.04,0.00,400,5.51,0,/Users/alizamustafa/Downloads/new-image.fits
4,1.594890,20.249251,1.594927,20.249203,930,565,929.673,565.442,1,+330676,1.0000,+701.394,adu,-13.7985,+0.0023,0,B,-2432.138428,-2428.467258,-2432.560829,-2460.731934,2432.877100,0.000000,39.276268,39.495518,5,5,5,0,10,15,79.04,0.00,403,4.87,0,/Users/alizamustafa/Downloads/new-image.fits
5,1.574951,20.221432,1.574947,20.221408,1102,822,1102.037,822.224,1,+191306,1.0000,+556.844,adu,-13.2043,+0.0032,0,B,-2435.467773,-2431.472014,-2435.036728,-2450.644531,2435.258668,0.000000,32.918044,33.902896,5,5,5,0,10,15,79.04,0.00,404,4.80,0,/Users/alizamustafa/Downloads/new-image.fits
6,1.581376,20.202882,1.581416,20.202920,1046,993,1045.650,992.651,1,+199788,1.0000,+595.356,adu,-13.2514,+0.0032,0,B,-2393.230957,-2405.983382,-2390.420159,-2453.101074,2390.731028,0.000000,38.600481,38.687964,5,5,5,0,10,15,79.04,0.00,404,4.91,0,/Users/alizamustafa/Downloads/new-image.fits
7,1.583745,20.180664,1.583729,20.180679,1025,1198,1025.136,1197.860,1,+205869,1.0000,+533.182,adu,-13.2840,+0.0028,0,B,-2449.421387,-2468.901534,-2448.366072,-2459.602295,2448.520889,0.000000,27.568334,27.531440,5,5,5,0,10,15,79.04,0.00,402,4.74,0,/Users/alizamustafa/Downloads/new-image.fits
8,1.611658,20.171285,1.611716,20.171909,783,1284,782.511,1278.241,1,+4.26003e+06,1.0000,+3353.98,adu,-16.5735,+0.0009,0,B,-2087.437988,-2153.056792,-2000.465595,-2468.706787,2020.081301,0.000000,281.186833,259.381616,5,5,5,0,10,15,79.04,0.00,395,4.81,0,/Users/alizamustafa/Downloads/new-image.fits
9,1.692545,20.161690,1.692608,20.161718,82,1371,81.449,1370.739,1,+1.41309e+06,1.0000,+1331.29,adu,-15.3754,+0.0010,0,B,-2543.548096,-2562.474254,-2531.668288,-2624.855957,2532.362756,0.000000,59.376955,58.895142,5,5,5,0,10,15,79.04,0.00,400,5.01,0,/Users/alizamustafa/Downloads/new-image.fits
10,1.612056,20.150274,1.612015,20.150311,779,1478,779.353,1477.653,1,+636711,1.0000,+946.695,adu,-14.5099,+0.0016,0,B,-2470.116211,-2469.492913,-2473.097145,-2523.226807,2473.544937,0.000000,47.122839,50.115400,5,5,5,0,10,15,79.04,0.00,404,4.83,0,/Users/alizamustafa/Downloads/new-image.fits
11,1.612836,20.141177,1.612835,20.141156,772,1562,772.006,1562.189,1,+188768,1.0000,+537.776,adu,-13.1898,+0.0031,0,B,-2541.231934,-2560.489711,-2542.985133,-2544.675049,2543.184748,0.000000,31.902974,31.167607,5,5,5,0,10,15,79.04,0.00,403,4.68,0,/Users/alizamustafa/Downloads/new-image.fits
12,1.599624,20.122045,1.599651,20.122019,886,1739,885.770,1739.234,1,+175319,1.0000,+614.223,adu,-13.1096,+0.0038,0,B,-2519.114136,-2563.752668,-2520.444173,-2544.169434,2520.818683,0.000000,43.505040,44.208823,5,5,5,0,10,15,79.04,0.00,404,4.72,0,/Users/alizamustafa/Downloads/new-image.fits
