Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Flags,Image
1,1.639432,20.284393,1.639436,20.284406,549,275,548.962,274.877,1,+419639,1.0000,+732.279,adu,-14.0572,+0.0019,0,B,-1908.828735,-1910.214252,-1907.492399,-1931.305908,1907.771236,0.000000,32.657019,33.581282,10,5,5,0,10,15,79.04,0.00,403,4.86,0,/Users/alizamustafa/Downloads/335-R.fits
2,1.476063,20.279728,1.476102,20.279695,1963,321,1962.665,321.306,1,+126758,1.0000,+475.648,adu,-12.7574,+0.0041,0,B,-1945.775879,-1946.139248,-1944.482605,-1945.203003,1944.698890,0.000000,29.038929,31.028501,10,5,5,0,10,15,79.04,0.00,404,4.73,0,/Users/alizamustafa/Downloads/335-R.fits
3,1.608548,20.278929,1.608459,20.278942,816,326,816.767,325.880,1,+599229,1.0000,+853.026,adu,-14.4440,+0.0015,0,B,-1835.283691,-1847.082195,-1834.155513,-1884.323853,1834.489187,0.000000,35.030992,35.254102,10,5,5,0,10,15,79.04,0.00,404,4.85,0,/Users/alizamustafa/Downloads/335-R.fits
4,1.683095,20.272367,1.683071,20.272351,171,385,171.202,385.149,1,+2.22127e+06,1.0000,+1779.22,adu,-15.8665,+0.0009,0,B,-1812.342651,-1843.535247,-1792.053277,-1971.010010,1794.532963,0.000000,94.424041,95.485779,10,5,5,0,10,15,79.04,0.00,400,3.90,0,/Users/alizamustafa/Downloads/335-R.fits
5,1.534099,20.264775,1.534024,20.264825,1460,458,1460.652,457.537,1,+275913,1.0000,+591.661,adu,-13.6019,+0.0023,0,B,-1863.683899,-1857.565957,-1863.776446,-1880.310913,1863.973259,0.000000,27.120072,26.772366,10,5,5,0,10,15,79.04,0.00,402,4.52,0,/Users/alizamustafa/Downloads/335-R.fits
6,1.594928,20.249256,1.594922,20.249232,933,600,933.046,600.220,1,+777942,1.0000,+971.851,adu,-14.7274,+0.0014,0,B,-1797.759155,-1807.603097,-1793.416656,-1854.368652,1793.879884,0.000000,40.815072,40.136042,10,5,5,0,10,15,79.04,0.00,403,4.43,0,/Users/alizamustafa/Downloads/335-R.fits
7,1.496406,20.245240,1.496367,20.245256,1786,639,1786.336,638.854,1,+121282,1.0000,+429.708,adu,-12.7095,+0.0038,0,B,-1905.615723,-1922.322944,-1904.944284,-1913.677734,1905.112398,0.000000,25.339935,24.763728,10,5,5,0,10,15,79.04,0.00,404,4.33,0,/Users/alizamustafa/Downloads/335-R.fits
8,1.653023,20.238387,1.653028,20.238331,430,699,429.953,699.512,1,+236581,1.0000,+559.016,adu,-13.4350,+0.0026,0,B,-1914.648682,-1914.296659,-1915.809621,-1926.295044,1915.988303,0.000000,26.198802,27.097556,10,5,5,0,10,15,79.04,0.00,403,4.70,0,/Users/alizamustafa/Downloads/335-R.fits
9,1.571666,20.235651,1.571640,20.235644,1134,726,1134.224,726.063,1,+291462,1.0000,+594.017,adu,-13.6615,+0.0022,0,B,-1854.711060,-1874.990576,-1852.797529,-1865.049194,1852.972831,0.000000,25.519671,24.353840,10,5,5,0,10,15,79.04,0.00,401,4.40,0,/Users/alizamustafa/Downloads/335-R.fits
10,1.574976,20.221445,1.574927,20.221439,1105,857,1105.418,857.058,1,+341993,1.0000,+654.086,adu,-13.8350,+0.0021,0,B,-1819.891174,-1821.696826,-1819.220814,-1852.892822,1819.471434,0.000000,30.235776,28.804724,10,5,5,0,10,15,79.04,0.00,402,4.39,0,/Users/alizamustafa/Downloads/335-R.fits
