Number,ApertureRA,ApertureDec,CentroidRA,CentroidDec,ApertureX,ApertureY,CentroidX,CentroidY,CentroidFlag,SourceIntensity,ApertureCorr,SourceUncertainty,DataUnits,Magnitude,MagUncertainty,SourceModel,SkyModel,SkyMedian,SkyMode,SkyAverage,SkyLocalNonAnnulusBkg,SkyRMS,SkyCustom,SkySigma,SkyScale,RadiusCentroid,ApertureMajorRadius,ApertureMinorRadius,ApertureRotationAngle,SkyRadiusInner,SkyRadiusOuter,ApertureNumPixels,ApertureNumRejected,SkyNumPixels,RadialProfileFWHM,Flags,Image
1,1.639459,20.284393,1.639439,20.284403,593,210,593.179,209.906,1,+332990,1.0000,+650.585,adu,-13.8061,+0.0021,0,B,-2194.698242,-2201.320916,-2192.502853,-2197.583496,2192.695676,0.000000,29.114799,29.548325,10,5,5,0,10,15,79.04,0.00,403,5.00,0,/Users/alizamustafa/Downloads/335-V.fits
2,1.608483,20.278946,1.608480,20.278945,861,261,861.027,261.014,1,+456593,1.0000,+756.111,adu,-14.1488,+0.0018,0,B,-2103.206665,-2102.826751,-2103.658568,-2138.208496,2103.918427,0.000000,33.107450,33.357285,10,5,5,0,10,15,79.04,0.00,402,4.77,0,/Users/alizamustafa/Downloads/335-V.fits
3,1.683086,20.272344,1.683047,20.272311,215,320,215.345,320.305,1,+1.73389e+06,1.0000,+1573.26,adu,-15.5976,+0.0010,0,B,-2100.186890,-2156.478452,-2073.052257,-2252.402344,2074.725696,0.000000,83.417842,84.547258,10,5,5,0,10,15,79.04,0.00,398,5.40,0,/Users/alizamustafa/Downloads/335-V.fits
4,1.534026,20.264923,1.534043,20.264856,1505,392,1504.860,392.623,1,+183677,1.0000,+515.708,adu,-13.1601,+0.0030,0,B,-2136.619263,-2131.221243,-2138.138652,-2148.030273,2138.336077,0.000000,29.092563,28.218110,10,5,5,0,10,15,79.04,0.00,404,4.76,0,/Users/alizamustafa/Downloads/335-V.fits
5,1.594895,20.249270,1.594963,20.249233,978,535,977.412,535.341,1,+620028,1.0000,+877.950,adu,-14.4810,+0.0015,0,B,-2052.331299,-2052.863830,-2047.999003,-2111.622803,2048.355062,0.000000,38.238278,38.197947,10,5,5,0,10,15,79.04,0.00,404,4.78,0,/Users/alizamustafa/Downloads/335-V.fits
6,1.653079,20.238280,1.653048,20.238318,474,635,474.266,634.657,1,+144986,1.0000,+515.420,adu,-12.9033,+0.0039,0,B,-2186.182617,-2172.741847,-2185.637984,-2202.257813,2185.879132,0.000000,32.508567,34.163452,10,5,5,0,10,15,79.04,0.00,403,4.73,0,/Users/alizamustafa/Downloads/335-V.fits
7,1.571756,20.235664,1.571673,20.235640,1178,661,1178.721,661.222,1,+215366,1.0000,+521.451,adu,-13.3329,+0.0026,0,B,-2120.463623,-2134.771230,-2121.250840,-2136.761230,2121.380653,0.000000,23.497359,23.372305,10,5,5,0,10,15,79.04,0.00,401,4.76,0,/Users/alizamustafa/Downloads/335-V.fits
8,1.574957,20.221454,1.574978,20.221432,1150,792,1149.820,792.205,1,+297837,1.0000,+635.923,adu,-13.6849,+0.0023,0,B,-2073.052490,-2069.505445,-2074.748847,-2110.562988,2074.989559,0.000000,31.644501,32.103896,10,5,5,0,10,15,79.04,0.00,403,4.64,0,/Users/alizamustafa/Downloads/335-V.fits
9,1.633045,20.219039,1.633008,20.219003,647,813,647.324,813.336,1,+206537,1.0000,+542.106,adu,-13.2875,+0.0028,0,B,-2128.081665,-2130.367959,-2126.306664,-2144.676270,2126.487128,0.000000,27.737770,29.073496,10,5,5,0,10,15,79.04,0.00,404,4.70,0,/Users/alizamustafa/Downloads/335-V.fits
10,1.504223,20.212716,1.504258,20.212738,1762,874,1761.697,873.800,1,+239451,1.0000,+557.839,adu,-13.4480,+0.0025,0,B,-2127.589600,-2146.464221,-2127.263555,-2144.854492,2127.449342,0.000000,28.150254,26.340273,10,5,5,0,10,15,79.04,0.00,403,4.55,0,/Users/alizamustafa/Downloads/335-V.fits
11,1.581494,20.202903,1.581450,20.202942,1093,963,1093.377,962.640,1,+302482,1.0000,+775.825,adu,-13.7017,+0.0028,0,B,-1969.898682,-2000.900794,-1960.947625,-2095.864014,1961.619636,0.000000,51.406212,53.783291,10,5,5,0,10,15,79.04,0.00,401,5.07,0,/Users/alizamustafa/Downloads/335-V.fits
12,1.583742,20.180788,1.583748,20.180695,1073,1167,1072.947,1167.858,1,+603454,1.0000,+842.597,adu,-14.4516,+0.0015,0,B,-2060.921021,-2061.326576,-2059.350790,-2086.351318,2059.602937,0.000000,32.266944,32.106367,10,5,5,0,10,15,79.04,0.00,404,4.84,0,/Users/alizamustafa/Downloads/335-V.fits
13,1.611887,20.171407,1.611718,20.171797,829,1253,830.472,1249.403,1,+4.55051e+06,1.0000,+6161.02,adu,-16.6451,+0.0015,0,B,-1381.698853,-1589.932275,-1024.167603,-2106.051270,2446.558621,0.000000,2224.736689,566.043384,10,5,5,0,10,15,79.04,0.00,389,10.77,0,/Users/alizamustafa/Downloads/335-V.fits
14,1.612049,20.150389,1.612022,20.150318,827,1447,827.240,1447.655,1,+1.15899e+06,1.0000,+1238.64,adu,-15.1602,+0.0012,0,B,-2063.446899,-2113.030107,-2057.895338,-2147.921631,2058.712422,0.000000,58.068578,60.260884,10,5,5,0,10,15,79.04,0.00,404,4.74,0,/Users/alizamustafa/Downloads/335-V.fits
15,1.612942,20.141179,1.612839,20.141154,819,1532,819.891,1532.227,1,+351514,1.0000,+653.462,adu,-13.8649,+0.0020,0,B,-2161.451904,-2179.425460,-2159.654033,-2173.736572,2159.845827,0.000000,28.818755,27.014883,10,5,5,0,10,15,79.04,0.00,402,4.83,0,/Users/alizamustafa/Downloads/335-V.fits
16,1.599604,20.122034,1.599635,20.122005,934,1709,933.725,1709.268,1,+337670,1.0000,+650.922,adu,-13.8212,+0.0021,0,B,-2131.625366,-2145.815560,-2131.128170,-2175.443359,2131.336679,0.000000,29.849277,28.837393,10,5,5,0,10,15,79.04,0.00,402,4.68,0,/Users/alizamustafa/Downloads/335-V.fits
17,1.545824,20.089531,1.545758,20.089625,1399,2010,1399.575,2009.136,1,+127631,1.0000,+492.213,adu,-12.7649,+0.0042,0,B,-2286.992188,-2305.358018,-2286.026936,-2176.352051,2286.247415,0.000000,31.789930,33.299160,10,5,5,0,10,15,79.04,0.00,403,5.29,0,/Users/alizamustafa/Downloads/335-V.fits
